place_cat,place_name,place_address,place_lat,place_lon,place_detailsjson,place_src,place_srcassetid
food_venue,9 FaceThai Cuisine,362 Abbotsford Street NORTH MELBOURNE VIC 3051,-37.79823272,144.946696441,"{""census_year"":2024,""industry_code"":""4512"",""industry_description"":""Takeaway Food Services"",""seats"":{""Seats - Indoor"":10},""total_seats"":10}",City of Melbourne,com:food:104588:ddbbcb42b5afaafa
food_venue,90 Secondi,Shop 1A Concourse 700 Bourke Street DOCKLANDS VIC 3008,-37.81733573,144.949373281,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":130},""total_seats"":130}",City of Melbourne,com:food:573401:bf7301fee6023f01
food_venue,@  Cafe 45,Part Ground 45 William Street MELBOURNE VIC 3000,-37.81858017,144.959122077,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":25,""Seats - Outdoor"":20},""total_seats"":45}",City of Melbourne,com:food:110092:806716c2b23f2bf4
food_venue,A Hereford Beefstouw,22 Duckboard Place MELBOURNE VIC 3000,-37.81593915,144.971370668,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":120},""total_seats"":120}",City of Melbourne,com:food:104027:a9072906401bc7d0
food_venue,A Treat of France,269 City Road SOUTHBANK VIC 3006,-37.82730522,144.959050704,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Outdoor"":10,""Seats - Indoor"":25},""total_seats"":35}",City of Melbourne,com:food:110373:b68b939b83125dd7
food_venue,A Treat of France,37 Flemington Road NORTH MELBOURNE VIC 3051,-37.80032188,144.955169656,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":32,""Seats - Outdoor"":4},""total_seats"":36}",City of Melbourne,com:food:103812:c9a0ae74bd092c70
food_venue,A25 Pizzeria Centro,"Tenancy 1, UprGround 376 Collins Street MELBOURNE VIC 3000",-37.81629382,144.961718566,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":54},""total_seats"":54}",City of Melbourne,com:food:102132:db8faaca0c5cd3f7
food_venue,Aagaman Restaurant,308 Flinders Lane MELBOURNE VIC 3000,-37.81719967,144.963897021,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":63},""total_seats"":63}",City of Melbourne,com:food:110765:4553fb78701d10cd
food_venue,Abacus CBD,Tenancy Lobby 181 William Street MELBOURNE VIC 3000,-37.81531863,144.957392295,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":20},""total_seats"":20}",City of Melbourne,com:food:612820:65b145e4a1846a21
food_venue,ABC Cafe,Ground 361 Queen Street MELBOURNE VIC 3000,-37.81022044,144.958211968,"{""census_year"":2024,""industry_code"":""4512"",""industry_description"":""Takeaway Food Services"",""seats"":{""Seats - Indoor"":12},""total_seats"":12}",City of Melbourne,com:food:108083:c3e77620efdb5a13
food_venue,ABC Chicken,Ground 175 A'Beckett Street MELBOURNE VIC 3000,-37.81022044,144.958211968,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":60},""total_seats"":60}",City of Melbourne,com:food:108083:e7a293ca8dd58225
food_venue,Abla's Restaurant,109 Elgin Street CARLTON VIC 3053,-37.79776853,144.971058181,"{""census_year"":2024,""industry_code"":""4511"",""industry_description"":""Cafes and Restaurants"",""seats"":{""Seats - Indoor"":80},""total_seats"":80}",City of Melbourne,com:food:103086:6d3c96f6cf4a394a
